Title: The ASAS-SN Bright Supernova Catalog -- II. 2015
Authors: T. W.-S. Holoien et al.
Table: Table 1 - ASAS-SN Supernovae
================================================================================
Byte-by-byte Description of file: table1.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label      Explanations
--------------------------------------------------------------------------------
   1- 11 A11    ---      SNName     Name of supernova
  13- 19 A7     ---      IAUName    IAU name of supernova (1)
  21- 33 A13    ---      DiscDate   Discovery Date
  35- 46 A12    ---      RA         Right Ascension (2)
  48- 59 A12    ---      Dec        Declination (2)
  61- 67 F7.5   ---      Redshift   Redshift of supernova
  69- 72 F4.1   mag      DiscMag    Discovery V-band Magnitude (3)
  74- 77 F4.1   mag      PeakMag    Peak V-band Magnitude (3)
  79- 84 A6     arcsec   Offset     Offset from host nucleus (4)
  86- 92 A7     ---      Type       Type of supernova
  94- 97 A4     d        DiscAge    Age of supernova at discovery, relative to peak (5)
  99-128 A30    ---      HostName   Host galaxy name
 130-155 A26    ---      DiscAtel   Discovery ATel
 157-186 A30    ---      ClassAtel  Classification ATel
--------------------------------------------------------------------------------
Note (1):   IAU name is not provided if one was not given to the supernova.
Note (2):   Right ascension and declination are given in the J2000 epoch.
Note (3):   All magnitudes are V -band magnitudes from ASAS-SN.
Note (4):   Offset indicates the offset of the SN in arcseconds from the coordinates of the host nucleus, taken from NED.
ASASSN-15ph ---     2015-09-09.48 22:09:06.99  +01:44:40.8  0.04100 17.5 17.4 2.80   Ia      4    2MASX J22090684+0144384        Bock et al. (2015)         Zinn et al. (2015a)            
ASASSN-15pl ---     2015-09-11.36 02:30:23.17  -20:41:00.1  0.01617 16.3 15.0 5.26   Ia      ---  ESO 545-G025                   Brimacombe et al. (2015aq) Zheng et al. (2015b)           
ASASSN-15pm ---     2015-09-11.56 01:38:36.08  -04:40:48.0  0.04878 17.5 16.8 14.21  Ia      -2   2MASX J01383676-0440581        Brimacombe et al. (2015ar) Zinn et al. (2015b)            
ASASSN-15pn ---     2015-09-11.61 04:03:26.32  -05:29:31.3  0.03839 17.7 16.7 1.43   Ia      -4   SDSS J040326.23-052930.6       Brimacombe et al. (2015ar) Zinn et al. (2015b)            
ASASSN-15pp ---     2015-09-12.31 05:40:09.96  -55:32:34.8  0.02396 17.1 16.0 12.35  Ia      -1   ESO 159-G023                   Marples et al. (2015)      Morrell & Lira (2015)          
ASASSN-15pr ---     2015-09-13.17 23:06:39.50  -12:34:22.4  0.03309 16.1 16.1 2.75   Ia      -6   2MASX J23063962-1234238        Masi et al. (2015j)        Zinn et al. (2015b)            
ASASSN-15ps ---     2015-09-17.37 06:14:46.20  -66:13:01.0  0.04000 17.2 16.6 4.72   Ia      1    Uncatalogued                   Nicholls et al. (2015d)    Hosseinzadeh et al. (2015f)    
ASASSN-15py ---     2015-09-25.61 08:05:19.50  +22:57:49.6  0.04474 17.2 17.2 1.98   Ia      ---  SDSS J080519.59+225751.1       Nicolas et al. (2015e)     Taddia & Stritzinger (2015)    
ASASSN-15pz ---     2015-09-27.16 03:08:48.44  -35:13:50.9  0.01490 16.7 14.2 21.81  Ia      -2   ESO 357-G005                   Brimacombe et al. (2015as) Taddia & Stritzinger (2015)    
ASASSN-15qc ---     2015-10-01.48 00:39:17.96  +03:57:00.6  0.01765 15.5 15.4 14.04  Ia      -6   UGC 00402                      Brown et al. (2015b)       Lyman et al. (2015a)           
ASASSN-15qh ---     2015-10-04.11 22:45:13.22  -22:43:39.8  0.01021 16.3 16.2 23.80  II      4    ESO 534-G024                   Holoien et al. (2015r)     Fraser et al. (2015a)          
ASASSN-15qy ---     2015-10-11.31 00:01:18.30  -33:21:02.7  0.03000 16.8 16.8 1.96   Ia      -3   2MASX J00011837-3321048        Brimacombe et al. (2015at) Campbell et al. (2015)         
ASASSN-15qz ---     2015-10-11.20 01:25:36.09  -41:27:55.8  0.02164 17.1 17.1 4.37   IIb     -1   ESO 296-G027                   Brimacombe et al. (2015at) Fraser et al. (2015b)          
ASASSN-15rb ---     2015-10-12.62 10:08:08.24  +19:17:59.4  0.03357 16.8 16.4 7.13   IIn     ---  SDSS J100807.76+191758.2       Brimacombe et al. (2015au) Prieto et al. (2015b)          
ASASSN-15re ---     2015-10-13.30 20:48:07.78  +16:23:01.3  0.03031 16.9 16.2 2.14   Ia      -9   CGCG 448-007                   Brimacombe et al. (2015av) Ochner et al. (2015b)          
ASASSN-15rm ---     2015-10-19.56 06:16:03.85  -16:49:29.8  0.02077 17.1 16.9 4.53   Ia      6    2MFGC 05056                    Brimacombe et al. (2015aw) Zheng et al. (2015c)           
ASASSN-15rp ---     2015-10-02.03 00:03:37.25  -34:33:24.2  0.02894 16.8 16.5 1.02   II      ---  GALEXASC J000337.23-343323.1   Holoien et al. (2015s)     Holoien et al. (2015s)         
ASASSN-15rq ---     2015-10-21.00 00:08:03.14  -36:33:51.8  0.02400 16.1 15.4 5.34   Ia      -6   GALEXASC J000802.78-363348.1   Brimacombe et al. (2015ax) Lyman et al. (2015b)           
ASASSN-15rv ---     2015-10-24.19 04:22:55.23  -52:30:11.1  0.04000 17.0 16.9 10.12  Ia      5    2MASX J04225455-5230097        Brown et al. (2015c)       Hosseinzadeh et al. (2015g)    
ASASSN-15rw ---     2015-10-24.49 02:15:58.48  +12:14:13.8  0.01890 16.2 15.5 1.56   Ia      -9   GALEXASC J021558.44+121415.2   Brown et al. (2015d)       Rui et al. (2015)              
ASASSN-15sb ---     2015-10-23.34 06:00:48.10  -15:23:57.3  0.02271 16.5 16.3 0.21   Ia      ---  2MFGC 04848                    Kiyota et al. (2015s)      Kiyota et al. (2015s)          
ASASSN-15sf ---     2015-10-30.09 00:11:27.62  -06:25:38.3  0.02700 16.4 15.9 12.53  Ia      -4   GALEXASC J001127.51-062549.8   Dong et al. (2015i)        Zhang et al. (2015)            
ASASSN-15sh ---     2015-11-02.01 19:32:07.01  -62:26:30.0  0.03100 16.4 16.1 19.22  Ia-91T  7    2MASX J19320827-6226340        Brown et al. (2015e)       Dennefeld et al. (2015)        
ASASSN-15so ---     2015-11-08.62 11:14:11.01  +48:19:07.6  0.00713 15.1 13.8 1.50   Ia      ---  NGC 3583                       Stanek et al. (2015b)      Tomasella et al. (2015g)       
ASASSN-15ss ---     2015-11-11.31 06:12:33.40  -14:15:26.9  0.03556 17.2 17.1 22.02  Ia      -2   MCG -02-16-004                 Brown et al. (2015f)       Balanutsa et al. (2015)        
ASASSN-15sx ---     2015-11-19.21 00:12:14.37  -27:11:35.3  0.03481 16.5 16.3 11.80  Ia      -2   ESO 472-G018                   Brimacombe et al. (2015ay) Yi & Zhang (2015)              
ASASSN-15ta ---     2015-11-14.09 20:29:33.35  -61:57:03.7  0.01500 16.7 15.6 1.23   Ib      -15  GALEXASC J202933.17-615703.5   Holoien et al. (2015t)     Kuncarayakti et al. (2015b)    
ASASSN-15tb ---     2015-11-23.65 12:40:58.19  -06:41:34.8  0.02461 16.5 16.2 15.99  Ia      -4   LCRS B123822.1-062502          Brimacombe et al. (2015az) Prieto et al. (2015c)          
ASASSN-15tf ---     2015-11-29.04 21:29:20.31  -23:05:39.5  0.03529 16.7 16.7 13.69  Ia      -1   2MASX J21291986-2305268        Brimacombe et al. (2015ba) Prieto et al. (2015c)          
ASASSN-15tg ---     2015-11-30.21 00:20:41.06  +25:13:44.6  0.03561 16.7 16.4 8.63   Ia-91T  -8   GALEXASC J002041.66+251341.1   Kiyota et al. (2015t)      Benetti et al. (2015d)         
ASASSN-15ti ---     2015-12-01.38 03:05:08.59  +37:53:59.8  0.01600 16.5 15.8 23.88  Ia      -2   2MASX J03051061+3754003        Brown et al. (2015g)       Prieto et al. (2015c)          
ASASSN-15tj ---     2015-12-03.54 07:55:28.67  +52:09:28.4  0.02227 16.5 15.6 19.79  Ia      -10  SDSS J075527.63+520911.1       Brimacombe et al. (2015bb) Pastorello et al. (2015)       
ASASSN-15tm ---     2015-12-04.25 23:27:35.60  +29:24:31.2  0.01600 17.3 17.2 4.47   IIP     -5   2MASX J23273537+2924275        Masi et al. (2015k)        Shivvers et al. (2015)         
ASASSN-15tn ---     2015-12-06.28 23:10:11.42  +30:34:46.5  0.02300 16.1 16.0 4.81   Ia      -1   CGCG 496-051                   Masi et al. (2015l)        Tomasella et al. (2015h)       
ASASSN-15ts ---     2015-12-06.27 03:34:42.02  -20:50:47.0  0.05998 17.2 17.2 3.58   Ia      -2   2MASX J03344211-2050502        Masi et al. (2015m)        Prieto (2015)                  
ASASSN-15tt ---     2015-12-08.11 06:38:01.49  -37:39:30.9  0.03400 17.0 16.8 4.00   Ia      5    2MASXi J0638012-373927         Dong et al. (2015j)        Le Guillou et al. (2015)       
ASASSN-15tu ---     2015-12-08.09 22:34:02.58  -32:23:53.6  0.01260 16.1 15.6 12.50  IIb     -10  2MASX J22340166-3223490        Nicholls et al. (2015e)    Foley et al. (2015)            
ASASSN-15tw 2016aai 2015-12-08.63 12:50:28.05  -10:50:29.1  0.00797 16.6 15.5 50.89  IIP     7    DDO 151                        Brimacombe et al. (2015bc) Xin & Zhang (2015)             
ASASSN-15tz ---     2015-12-12.37 02:41:08.86  +43:40:48.8  0.02286 16.9 16.9 10.31  Ia      -10  UGC 02164                      Masi et al. (2015n)        Challis et al. (2015h)         
ASASSN-15ua ---     2015-12-12.63 13:34:54.47  +10:59:04.7  0.06100 16.9 16.8 2.20   IIn     ---  GALEXASC J133454.49+105906.7   Masi et al. (2015o)        Challis et al. (2015h)         
ASASSN-15ub ---     2015-12-14.55 11:07:13.07  +65:05:58.2  0.03205 16.5 16.4 5.73   Ia      -2   CGCG 314-006                   Guo et al. (2015)          Kangas et al. (2015)           
ASASSN-15ug ---     2015-12-18.34 06:45:01.68  +63:14:59.9  0.02220 16.4 16.2 1.84   II      ---  Uncatalogued                   Masi et al. (2015p)        Falco et al. (2016)            
ASASSN-15uh ---     2015-12-18.50 09:30:13.69  +69:07:02.5  0.01350 16.5 15.3 9.40   Ia-91T  -11  KUG 0925+693                   Masi et al. (2015p)        Turatto et al. (2015)          
ASASSN-15uk ---     2015-12-23.65 14:48:16.68  +17:12:35.4  0.03700 16.8 16.6 0.53   Ia      6    SDSS J144816.71+171235.6       Brown et al. (2015h)       Wang et al. (2015)             
ASASSN-15ul ---     2015-12-23.64 15:00:27.68  +06:27:19.3  0.02979 16.9 16.8 2.56   Ia      ---  KUG 1457+066                   Kiyota et al. (2015u)      Falco et al. (2016)            
ASASSN-15um ---     2015-12-28.19 05:40:05.31  -80:22:23.3  0.03400 15.5 15.5 15.21  Ib/c    -7   2MASX J05395948-8022191        Brown et al. (2015i)       Frohmaier et al. (2016)        
ASASSN-15un ---     2015-12-28.22 02:40:41.38  +16:49:51.8  0.02920 17.1 16.6 3.08   II      ---  MRK 1182                       Masi et al. (2015q)        Seibert et al. (2016)          
ASASSN-15uo ---     2015-12-29.06 01:16:59.99  -04:56:33.7  0.03960 16.9 16.3 11.94  IIn     ---  GALEXASC J011659.34-045630.6   Stanek et al. (2015c)      Firth et al. (2016)            
ASASSN-15up ---     2015-12-29.20 04:25:39.26  -49:46:19.5  0.03800 16.6 16.4 7.88   Ia      -4   GALEXASC J042539.92-494621.0   Brimacombe et al. (2015bd) Frohmaier et al. (2016)        
ASASSN-15uq ---     2015-12-29.21 07:09:58.68  -65:07:57.0  0.02000 16.4 16.0 5.30   Ia      -5   Uncatalogued                   Brimacombe et al. (2015bd) Dimitriadis et al. (2016)      
ASASSN-15us ---     2015-12-29.03 22:09:09.58  -47:08:01.4  0.00584 14.6 14.0 136.80 Ia-06bt -2   NGC 7213                       Brown et al. (2015j)       Firth et al. (2016)            
ASASSN-15ut ---     2015-12-30.12 00:21:21.09  -48:38:30.3  0.01147 17.1 15.9 11.68  Ib/c    ---  NGC 0088                       Kiyota et al. (2015v)      Firth et al. (2016)            
ASASSN-15uu ---     2015-12-29.34 01:43:56.57  +17:03:44.4  0.02680 16.8 16.5 1.61   Ia      -2   VV 790a                        Masi et al. (2015r)        Firth et al. (2016)            
ASASSN-15uv ---     2015-12-31.38 08:27:08.13  +27:48:41.7  0.02033 16.5 16.1 4.16   Ia      ---  2MASX J08270817+2748382        Kiyota et al. (2015w)      Bersier (2016)                 
ASASSN-15uw ---     2015-12-31.27 02:35:34.31  -06:03:47.0  0.03081 17.2 16.8 3.31   Ia      -13  2MASX J02353437-0603496        Brown et al. (2015k)       Pan et al. (2016)              
ASASSN-15uy 2015bi  2015-12-31.36 14:32:15.31  +26:19:32.0  0.01601 16.4 16.4 4.40   IIb     ---  VV 839                         Conseil et al. (2016)      Rui et al. (2016   
